gse	dataOrigin	dataCategory	analysisSoftware	param
GSE37529	GEO	GSE	add_manully	
GSE37531	GEO	GSE	add_manully	
GSE37543	GEO	GSE	add_manully	
GSE37571	GEO	GSE	add_manully	
GSE37615	GEO	GSE	add_manully	
GSE37666	GEO	GSE	add_manully	
GSE37761	GEO	GSE	add_manully	
GSE37814	GEO	GSE	add_manully	
GSE37827	GEO	GSE	add_manully	
GSE37829	GEO	GSE	add_manully	
GSE37837	GEO	GSE	add_manully	
GSE37945	GEO	GSE	add_manully	
GSE37951	GEO	GSE	add_manully	
GSE38008	GEO	GSE	add_manully	
GSE38016	GEO	GSE	add_manully	
GSE38174	GEO	GSE	add_manully	
GSE38194	GEO	GSE	add_manully	
GSE38530	GEO	GSE	add_manully	
GSE38537	GEO	GSE	add_manully	
GSE38706	GEO	GSE	add_manully	
GSE38747	GEO	GSE	add_manully	
GSE38769	GEO	GSE	add_manully	
GSE38814	GEO	GSE	add_manully	
GSE38924	GEO	GSE	add_manully	
GSE39182	GEO	GSE	add_manully	
GSE39242	GEO	GSE	add_manully	
GSE39250	GEO	GSE	add_manully	
GSE39290	GEO	GSE	add_manully	
GSE39337	GEO	GSE	add_manully	
GSE39356	GEO	GSE	add_manully	
GSE39359	GEO	GSE	add_manully	
GSE39494	GEO	GSE	add_manully	
GSE39580	GEO	GSE	add_manully	
GSE39581	GEO	GSE	add_manully	
GSE39668	GEO	GSE	add_manully	
GSE39681	GEO	GSE	add_manully	
GSE39698	GEO	GSE	add_manully	
GSE39828	GEO	GSE	add_manully	
GSE39829	GEO	GSE	add_manully	
GSE40021	GEO	GSE	add_manully	
GSE40025	GEO	GSE	add_manully	
GSE40060	GEO	GSE	add_manully	
GSE40074	GEO	GSE	add_manully	
GSE40089	GEO	GSE	add_manully	
GSE40098	GEO	GSE	add_manully	
GSE40099	GEO	GSE	add_manully	
GSE40152	GEO	GSE	add_manully	
GSE40234	GEO	GSE	add_manully	
GSE40374	GEO	GSE	add_manully	
GSE40403	GEO	GSE	add_manully	
GSE40558	GEO	GSE	add_manully	
GSE40559	GEO	GSE	add_manully	
GSE40588	GEO	GSE	add_manully	
GSE40776	GEO	GSE	add_manully	
GSE40842	GEO	GSE	add_manully	
GSE40844	GEO	GSE	add_manully	
GSE41289	GEO	GSE	add_manully	
